name of body; position x; position y; position z
sun;0.0;0.0;0.0
jupiter;4.841431442464721;-1.1603200440274284;-0.10362204447112311
saturn;8.34336671824458;4.124798564124305;-0.4035234171143214
uranus;12.894369562139131;-15.111151401698631;-0.22330757889265573
neptune;15.379697114850917;-25.919314609987964;0.17925877295037118
sun;1.5983797301314377e-07;-3.0187796864957276e-08;-3.730115986360392e-09
jupiter;4.853093386834423;-1.103969829739634;-0.10411646718765466
saturn;8.312798892511495;4.179446737346618;-0.40325909488751405
uranus;12.937616149964825;-15.07632670331943;-0.22373975808996213
neptune;15.42861831754185;-25.88952350411091;0.17752058652671274
sun;-1.2940695402934462e-05;-0.0001314649898547304;8.974181262303209e-07
jupiter;4.889006211949778;-0.9056773893517273;-0.10574156475300542
saturn;8.229497519958693;4.324265867681233;-0.4024673033595219
uranus;13.034539045089772;-14.997526828484036;-0.22470555960893934
neptune;15.526293478720854;-25.829660841313537;0.17404229046931338
sun;-1.6353065700295164e-05;-0.0002643013178247515;1.5707916630282926e-06
jupiter;4.932651039971856;-0.5626046810451177;-0.1081392415194238
saturn;8.088630633411514;4.556671555745557;-0.4009107958104757
uranus;13.184249637021626;-14.873733581178103;-0.2261896812921195
neptune;15.672385420681133;-25.73916726867489;0.16882013233541654
sun;-2.0046690425182484e-05;-0.0005957603337665454;3.1351589010821808e-06
jupiter;4.955253399617582;-0.07249400031813823;-0.11067462770810035
saturn;7.882487003172632;4.87213995694434;-0.39820393909026597
uranus;13.385345710287318;-14.703383022577944;-0.22816813494181856
neptune;15.866381670833983;-25.61720766650272;0.16184871873103435
sun;2.7168869445092763e-05;-0.0008624922159797675;3.1838844355013653e-06
jupiter;4.915665510707499;0.5621017489751418;-0.11241597357439907
saturn;7.600707380219337;5.263752698910609;-0.3938138791686153
uranus;13.63588598445966;-14.484391884951307;-0.2306080135120218
neptune;16.1075864640648;-25.462675942047596;0.1531212985031716
sun;0.00011188930023417373;-0.0013856466970201642;3.4718386342232136e-06
jupiter;4.761496694262367;1.3277952200806868;-0.11213509808366003
saturn;7.230662308942362;5.721586492977497;-0.3870647435273824
uranus;13.93335653416196;-14.214194155453612;-0.2334671901610526
neptune;16.395110164078282;-25.274201587516835;0.14263014164123083
sun;0.00031122424555053816;-0.0017575394574859849;3.241078539325098e-07
jupiter;4.432830929787082;2.193026015009655;-0.10836036278064498
saturn;6.758031145239361;6.231976687377222;-0.3771475425521554
uranus;14.274629987309437;-13.889788439734811;-0.2366939630496741
neptune;16.727856182200316;-25.050158139346816;0.1303670147806728
sun;0.0006014266427859592;-0.002409776508567275;-3.7694552388573262e-06
jupiter;3.8699806179784773;3.1007565149508225;-0.09952016833959895
saturn;6.16764838418851;6.776707851886903;-0.36313941859230814
uranus;14.65591868098711;-13.507796826111637;-0.24022666422025774
neptune;17.104505501473913;-24.788673708065406;0.11632375424058759
sun;0.0010714860357985687;-0.002776768190017535;-1.3492177189786282e-05
jupiter;3.026169667499423;3.9637315118847027;-0.0842072654924149
saturn;5.444694001675342;7.33222115670101;-0.3440373458472526
uranus;15.072723224763191;-13.06453605399033;-0.24399325486777215
neptune;17.5234989436066;-24.487643778606206;0.10049293751202651
sun;0.001664537185813591;-0.0033912826546563263;-2.514314650062859e-05
jupiter;1.8844321942663163;4.665796594885373;-0.06156199848217961
saturn;4.57630863879159;7.868970402118159;-0.31881261392289345
uranus;15.519778241841147;-12.556101868604786;-0.2479109339402748
neptune;17.983017360350587;-24.144746522199053;0.08286865412781709
sun;0.0024509729257560686;-0.0035308122307878263;-4.371866798920703e-05
jupiter;0.47549738895551885;5.072558890163353;-0.03171572324674553
saturn;3.553692184703791;8.351087542086816;-0.2864908202880269
uranus;15.990997331231153;-11.97846747058286;-0.25188579019957985
neptune;18.480959958330057;-23.757460889299296;0.06344737671158629
sun;0.003307796610093855;-0.0038463256079720887;-6.348202476980845e-05
jupiter;-1.1088940481066274;5.052475281467643;0.0038244463058317232
saturn;2.3746496619904756;8.736550263416563;-0.24625669676769832
uranus;16.479419616905915;-11.327596960072938;-0.2558125317314503
neptune;19.014921024019575;-23.323087796732736;0.04222893273640925
sun;0.004260371733642166;-0.003493932515852673;-8.89806603969165e-05
jupiter;-2.7131677626673794;4.505701821106264;0.041992439109815295
saturn;1.0464387206212764;8.9781279459005;-0.19758209598350235
uranus;16.977160508951275;-10.59957457544887;-0.25957432921518425
neptune;19.582165328851023;-22.83877472737123;0.019217576869157905
sun;0.005110006016891861;-0.0032933801589927524;-0.00011198638052717591
jupiter;-4.129114146238498;3.3947729946571537;0.07828576534182642
saturn;-0.4113221301753389;9.025415004240095;-0.1403752545230888
uranus;17.475369608955624;-9.79075037887559;-0.26304281248029754
neptune;20.17960257247066;-22.30154408971783;-0.005576837225966211
sun;0.005851538138043222;-0.00233594321114334;-0.00013664685220577224
jupiter;-5.120809913989469;1.770596181125129;0.10721488935658682
saturn;-1.9640704118784;8.82817325323101;-0.07514103696787099
uranus;17.964198943048473;-8.897902799241544;-0.26607826198737544
neptune;20.80376121449678;-21.708325652026467;-0.03213758805303828
sun;0.006250577298605922;-0.0016615276556579362;-0.0001528760915672704
jupiter;-5.460493591306293;-0.21067473649452872;0.12303585497739959
saturn;-3.5606068145993857;8.341008450026875;-0.003129598152786208
uranus;18.432784976368737;-7.918418178434334;-0.2685300395189797
neptune;21.45076215543675;-21.05599337371174;-0.06043972469326025
sun;0.006333883000739203;-0.0003337627800462771;-0.0001656139617856862
jupiter;-4.973285803115225;-2.2820392620426966;0.12072770930144121
